SURVEY,REGION,YEAR,SUB_REGION_NAME,PRIMARY_SAMPLE_UNIT,LAT_DEGREES,LON_DEGREES,STRAT,HABITAT_CD,PROT,SPECIES_CD,Total_dis,Total_ble,Total_col,DIS_PREV,BLE_PREV
NCRMP,SEFCRI,2016,Broward-Miami,3150,25.7882,-80.0881,OFFR1,LIRO,0,POR ASTR,0,1,2,0,50
NCRMP,SEFCRI,2016,Broward-Miami,3150,25.7882,-80.0881,OFFR1,LIRO,0,SID SIDE,1,0,5,20,0
NCRMP,SEFCRI,2016,Broward-Miami,3150,25.7882,-80.0881,OFFR1,LIRO,0,STE INTE,0,1,5,0,20
NCRMP,SEFCRI,2016,Broward-Miami,3152,26.2250,-80.0697,OFFR1,APRD,0,MAD DECA,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3152,26.2250,-80.0697,OFFR1,APRD,0,MON CAVE,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3152,26.2250,-80.0697,OFFR1,APRD,0,MYC ALIC,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3152,26.2250,-80.0697,OFFR1,APRD,0,SID SIDE,0,1,1,0,100
NCRMP,SEFCRI,2016,Broward-Miami,3152,26.2250,-80.0697,OFFR1,APRD,0,STE INTE,1,3,5,20,60
NCRMP,SEFCRI,2016,Broward-Miami,3154,26.1941,-80.0700,OFFR0,APRD,0,AGA AGAR,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3154,26.1941,-80.0700,OFFR0,APRD,0,HEL CUCU,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3154,26.1941,-80.0700,OFFR0,APRD,0,MAD DECA,0,0,3,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3154,26.1941,-80.0700,OFFR0,APRD,0,MAD SENA,0,0,2,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3154,26.1941,-80.0700,OFFR0,APRD,0,MEA MEAN,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3154,26.1941,-80.0700,OFFR0,APRD,0,POR ASTR,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3154,26.1941,-80.0700,OFFR0,APRD,0,SID SIDE,1,0,1,100,0
NCRMP,SEFCRI,2016,Broward-Miami,3154,26.1941,-80.0700,OFFR0,APRD,0,STE INTE,0,0,2,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3800,26.1957,-80.0793,MIDR0,LIRM,0,MAD DECA,1,0,3,33.3,0
NCRMP,SEFCRI,2016,Broward-Miami,3800,26.1957,-80.0793,MIDR0,LIRM,0,MON CAVE,0,0,1,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3800,26.1957,-80.0793,MIDR0,LIRM,0,ORB FRAN,1,0,2,50,0
NCRMP,SEFCRI,2016,Broward-Miami,3800,26.1957,-80.0793,MIDR0,LIRM,0,POR ASTR,0,0,3,0,0
NCRMP,SEFCRI,2016,Broward-Miami,3800,26.1957,-80.0793,MIDR0,LIRM,0,POR PORI,2,0,4,50,0
NCRMP,SEFCRI,2016,Broward-Miami,3800,26.1957,-80.0793,MIDR0,LIRM,0,SID SIDE,1,1,4,25,25
